Geo_FIPS,Geo_GEOID,SE_A00001_001
1001020100,14000US01001020100,1993
1001020200,14000US01001020200,1959
1001020300,14000US01001020300,3507
1001020400,14000US01001020400,3878
1001020500,14000US01001020500,10596
1001020600,14000US01001020600,3668
1001020700,14000US01001020700,3586
1001020801,14000US01001020801,3196
1001020802,14000US01001020802,11142
1001020900,14000US01001020900,6143
1001021000,14000US01001021000,2527
1001021100,14000US01001021100,3185
1003010100,14000US01003010100,3433
1003010200,14000US01003010200,3158
1003010300,14000US01003010300,8284
1003010400,14000US01003010400,5181
1003010500,14000US01003010500,5463
1003010600,14000US01003010600,3730
1003010701,14000US01003010701,8756
1003010703,14000US01003010703,19962
1003010704,14000US01003010704,6456
1003010705,14000US01003010705,9344
1003010800,14000US01003010800,6856
1003010903,14000US01003010903,6235
1003010904,14000US01003010904,6605
1003010905,14000US01003010905,8316
1003010906,14000US01003010906,5188
1003011000,14000US01003011000,4644
1003011101,14000US01003011101,11802
1003011102,14000US01003011102,4903
1003011201,14000US01003011201,5091
1003011202,14000US01003011202,5997
1003011300,14000US01003011300,5269
1003011401,14000US01003011401,11757
1003011403,14000US01003011403,11169
1003011405,14000US01003011405,4624
1003011406,14000US01003011406,3140
1003011407,14000US01003011407,5005
1003011408,14000US01003011408,558
1003011501,14000US01003011501,6931
1003011502,14000US01003011502,12957
1003011601,14000US01003011601,5873
1003011602,14000US01003011602,6143
1003990000,14000US01003990000,0
1005950100,14000US01005950100,3091
1005950200,14000US01005950200,3949
1005950300,14000US01005950300,1598
1005950400,14000US01005950400,3817
1005950500,14000US01005950500,3285
1005950600,14000US01005950600,1960
1005950700,14000US01005950700,1521
1005950800,14000US01005950800,2259
1005950900,14000US01005950900,3881
1007010001,14000US01007010001,2242
1007010002,14000US01007010002,5694
1007010003,14000US01007010003,4922
1007010004,14000US01007010004,9635
1009050101,14000US01009050101,7594
1009050102,14000US01009050102,7108
1009050200,14000US01009050200,4249
1009050300,14000US01009050300,4972
1009050400,14000US01009050400,3868
1009050500,14000US01009050500,7840
1009050601,14000US01009050601,4268
1009050602,14000US01009050602,9148
1009050700,14000US01009050700,8634
1011952100,14000US01011952100,1579
1011952200,14000US01011952200,5814
1011952500,14000US01011952500,2855
1013952700,14000US01013952700,1930
1013952800,14000US01013952800,1278
1013952900,14000US01013952900,2336
1013953000,14000US01013953000,1565
1013953100,14000US01013953100,2939
1013953200,14000US01013953200,3610
1013953300,14000US01013953300,1861
1013953400,14000US01013953400,2765
1013953500,14000US01013953500,1544
1015000200,14000US01015000200,2324
1015000300,14000US01015000300,2377
1015000400,14000US01015000400,3143
1015000500,14000US01015000500,1031
1015000600,14000US01015000600,1893
1015000700,14000US01015000700,2918
1015000800,14000US01015000800,981
1015000900,14000US01015000900,3617
1015001000,14000US01015001000,5992
1015001100,14000US01015001100,7389
1015001201,14000US01015001201,2830
1015001202,14000US01015001202,4260
1015001300,14000US01015001300,2009
1015001400,14000US01015001400,3105
1015001500,14000US01015001500,5076
1015001600,14000US01015001600,3621
1015001700,14000US01015001700,6858
1015001800,14000US01015001800,7051
1015002000,14000US01015002000,7331
1015002101,14000US01015002101,3327
1015002102,14000US01015002102,3350
1015002103,14000US01015002103,6784
1015002200,14000US01015002200,3391
1015002300,14000US01015002300,3454
1015002400,14000US01015002400,4636
1015002501,14000US01015002501,6719
1015002502,14000US01015002502,4557
1015002600,14000US01015002600,4594
1015981901,14000US01015981901,0
1015981902,14000US01015981902,0
1015981903,14000US01015981903,0
1017953800,14000US01017953800,3767
1017953900,14000US01017953900,3128
1017954000,14000US01017954000,5946
1017954200,14000US01017954200,3445
1017954300,14000US01017954300,5311
1017954400,14000US01017954400,796
1017954500,14000US01017954500,3883
1017954600,14000US01017954600,3163
1017954700,14000US01017954700,4221
1019955701,14000US01019955701,3236
1019955702,14000US01019955702,3549
1019955800,14000US01019955800,5571
1019955900,14000US01019955900,3912
1019956000,14000US01019956000,4168
1019956100,14000US01019956100,5467
1021060101,14000US01021060101,4623
1021060102,14000US01021060102,6884
1021060200,14000US01021060200,2756
1021060300,14000US01021060300,3622
1021060401,14000US01021060401,5157
1021060402,14000US01021060402,9362
1021060500,14000US01021060500,3302
1021060600,14000US01021060600,3545
1021060700,14000US01021060700,4804
1023956700,14000US01023956700,3395
1023956800,14000US01023956800,4043
1023956900,14000US01023956900,3365
1023957000,14000US01023957000,2122
1025957500,14000US01025957500,1384
1025957601,14000US01025957601,1008
1025957602,14000US01025957602,5064
1025957700,14000US01025957700,1420
1025957800,14000US01025957800,4785
1025957901,14000US01025957901,3172
1025957902,14000US01025957902,4073
1025958001,14000US01025958001,1781
1025958002,14000US01025958002,1441
1027958900,14000US01027958900,5457
1027959000,14000US01027959000,2908
1027959100,14000US01027959100,2723
1027959200,14000US01027959200,2249
1029959500,14000US01029959500,2985
1029959600,14000US01029959600,3931
1029959700,14000US01029959700,3611
1029959800,14000US01029959800,4389
1031010100,14000US01031010100,2125
1031010200,14000US01031010200,1740
1031010300,14000US01031010300,4742
1031010400,14000US01031010400,1710
1031010500,14000US01031010500,4777
1031010600,14000US01031010600,1560
1031010700,14000US01031010700,2264
1031010800,14000US01031010800,2902
1031010900,14000US01031010900,2307
1031011000,14000US01031011000,3374
1031011100,14000US01031011100,2104
1031011201,14000US01031011201,9072
1031011202,14000US01031011202,8896
1031011300,14000US01031011300,4089
1033020100,14000US01033020100,3175
1033020200,14000US01033020200,1895
1033020300,14000US01033020300,2081
1033020400,14000US01033020400,1822
1033020500,14000US01033020500,5568
1033020600,14000US01033020600,4421
1033020701,14000US01033020701,6546
1033020703,14000US01033020703,4941
1033020704,14000US01033020704,4408
1033020801,14000US01033020801,4269
1033020802,14000US01033020802,3811
1033020901,14000US01033020901,4463
1033020902,14000US01033020902,3567
1033021000,14000US01033021000,3804
1035960200,14000US01035960200,2070
1035960300,14000US01035960300,1807
1035960400,14000US01035960400,3362
1035960500,14000US01035960500,1644
1035960600,14000US01035960600,3511
1037961000,14000US01037961000,3587
1037961100,14000US01037961100,3459
1037961200,14000US01037961200,3711
1039961600,14000US01039961600,4324
1039961700,14000US01039961700,3744
1039961800,14000US01039961800,2957
1039961900,14000US01039961900,2103
1039962000,14000US01039962000,3815
1039962100,14000US01039962100,2009
1039962300,14000US01039962300,3378
1039962400,14000US01039962400,3085
1039962500,14000US01039962500,1392
1039962600,14000US01039962600,1579
1039962700,14000US01039962700,1717
1039962800,14000US01039962800,1821
1039962900,14000US01039962900,1954
1039963000,14000US01039963000,3322
1041963400,14000US01041963400,1979
1041963500,14000US01041963500,1910
1041963600,14000US01041963600,2999
1041963700,14000US01041963700,3892
1041963800,14000US01041963800,1453
1041963900,14000US01041963900,1611
1043964100,14000US01043964100,6624
1043964200,14000US01043964200,7055
1043964300,14000US01043964300,4924
1043964400,14000US01043964400,4218
1043964500,14000US01043964500,4400
1043964600,14000US01043964600,3773
1043964700,14000US01043964700,5553
1043964800,14000US01043964800,4151
1043964900,14000US01043964900,6595
1043965000,14000US01043965000,6499
1043965100,14000US01043965100,3777
1043965200,14000US01043965200,2618
1043965300,14000US01043965300,4589
1043965401,14000US01043965401,3280
1043965402,14000US01043965402,4282
1043965500,14000US01043965500,5315
1043965600,14000US01043965600,2397
1043965700,14000US01043965700,2803
1045020000,14000US01045020000,5311
1045020100,14000US01045020100,3335
1045020200,14000US01045020200,2120
1045020300,14000US01045020300,2266
1045020400,14000US01045020400,2599
1045020500,14000US01045020500,1831
1045020700,14000US01045020700,3176
1045020801,14000US01045020801,3231
1045020802,14000US01045020802,4237
1045021101,14000US01045021101,4768
1045021102,14000US01045021102,4087
1045021200,14000US01045021200,2642
1045021300,14000US01045021300,4433
1045021400,14000US01045021400,5241
1047956100,14000US01047956100,6406
1047956201,14000US01047956201,2324
1047956202,14000US01047956202,1987
1047956300,14000US01047956300,3817
1047956400,14000US01047956400,3020
1047956500,14000US01047956500,3083
1047956600,14000US01047956600,2389
1047956701,14000US01047956701,2008
1047956702,14000US01047956702,1595
1047956800,14000US01047956800,2326
1047956900,14000US01047956900,2567
1047957000,14000US01047957000,1183
1047957100,14000US01047957100,1412
1047957200,14000US01047957200,1278
1047957300,14000US01047957300,3754
1049960100,14000US01049960100,5794
1049960200,14000US01049960200,3172
1049960300,14000US01049960300,7454
1049960400,14000US01049960400,6047
1049960500,14000US01049960500,5782
1049960600,14000US01049960600,5839
1049960700,14000US01049960700,8082
1049960800,14000US01049960800,5064
1049960900,14000US01049960900,3913
1049961000,14000US01049961000,4425
1049961100,14000US01049961100,3306
1049961200,14000US01049961200,2302
1049961300,14000US01049961300,6002
1049961400,14000US01049961400,4128
1051030100,14000US01051030100,9137
1051030200,14000US01051030200,4710
1051030300,14000US01051030300,2583
1051030400,14000US01051030400,7073
1051030500,14000US01051030500,4764
1051030600,14000US01051030600,6834
1051030701,14000US01051030701,7860
1051030702,14000US01051030702,3774
1051030800,14000US01051030800,6799
1051030901,14000US01051030901,6379
1051030902,14000US01051030902,3815
1051031000,14000US01051031000,7260
1051031100,14000US01051031100,3910
1051031200,14000US01051031200,1604
1051031300,14000US01051031300,4642
1053969800,14000US01053969800,5567
1053969900,14000US01053969900,3831
1053970100,14000US01053970100,4703
1053970200,14000US01053970200,1677
1053970300,14000US01053970300,3558
1053970400,14000US01053970400,5625
1053970500,14000US01053970500,4354
1053970600,14000US01053970600,3968
1053970700,14000US01053970700,3774
1055000200,14000US01055000200,3508
1055000300,14000US01055000300,2838
1055000400,14000US01055000400,3698
1055000500,14000US01055000500,1762
1055000600,14000US01055000600,2172
1055000700,14000US01055000700,1136
1055000800,14000US01055000800,1209
1055000900,14000US01055000900,2213
1055001000,14000US01055001000,1421
1055001100,14000US01055001100,5339
1055001200,14000US01055001200,2812
1055001300,14000US01055001300,2927
1055001600,14000US01055001600,3242
1055001700,14000US01055001700,1682
1055010100,14000US01055010100,2198
1055010200,14000US01055010200,5027
1055010300,14000US01055010300,2560
1055010401,14000US01055010401,4100
1055010402,14000US01055010402,4835
1055010501,14000US01055010501,8468
1055010502,14000US01055010502,5167
1055010601,14000US01055010601,5289
1055010602,14000US01055010602,3596
1055010700,14000US01055010700,3459
1055010800,14000US01055010800,2891
1055010900,14000US01055010900,1693
1055011001,14000US01055011001,5186
1055011002,14000US01055011002,4594
1055011100,14000US01055011100,5135
1055011200,14000US01055011200,2591
1057020000,14000US01057020000,1435
1057020100,14000US01057020100,3177
1057020200,14000US01057020200,4243
1057020300,14000US01057020300,3903
1057020400,14000US01057020400,3736
1059972900,14000US01059972900,4005
1059973000,14000US01059973000,4773
1059973100,14000US01059973100,2394
1059973200,14000US01059973200,3912
1059973300,14000US01059973300,3145
1059973400,14000US01059973400,2650
1059973500,14000US01059973500,2546
1059973600,14000US01059973600,1441
1059973700,14000US01059973700,6600
1061050100,14000US01061050100,4448
1061050200,14000US01061050200,2522
1061050300,14000US01061050300,5617
1061050400,14000US01061050400,5449
1061050500,14000US01061050500,4502
1061050600,14000US01061050600,3879
1063060000,14000US01063060000,1747
1063060100,14000US01063060100,4012
1063060200,14000US01063060200,2565
1065040000,14000US01065040000,3514
1065040100,14000US01065040100,1298
1065040200,14000US01065040200,1178
1065040300,14000US01065040300,2177
1065040400,14000US01065040400,5116
1065040500,14000US01065040500,1526
1067030100,14000US01067030100,1445
1067030200,14000US01067030200,2864
1067030300,14000US01067030300,2784
1067030400,14000US01067030400,1814
1067030500,14000US01067030500,6530
1067030600,14000US01067030600,1696
1069040100,14000US01069040100,5753
1069040201,14000US01069040201,9885
1069040202,14000US01069040202,8780
1069040301,14000US01069040301,3816
1069040302,14000US01069040302,3967
1069040400,14000US01069040400,2482
1069040500,14000US01069040500,3676
1069040600,14000US01069040600,1945
1069040700,14000US01069040700,2788
1069040800,14000US01069040800,8833
1069040900,14000US01069040900,4977
1069041000,14000US01069041000,5186
1069041100,14000US01069041100,3589
1069041200,14000US01069041200,1995
1069041400,14000US01069041400,3454
1069041500,14000US01069041500,3865
1069041600,14000US01069041600,5273
1069041700,14000US01069041700,1254
1069041800,14000US01069041800,1904
1069041900,14000US01069041900,7969
1069042000,14000US01069042000,5591
1069042100,14000US01069042100,7720
1071950100,14000US01071950100,6326
1071950200,14000US01071950200,3056
1071950300,14000US01071950300,5877
1071950400,14000US01071950400,1986
1071950500,14000US01071950500,3316
1071950600,14000US01071950600,6978
1071950700,14000US01071950700,4416
1071950800,14000US01071950800,3603
1071950900,14000US01071950900,5370
1071951000,14000US01071951000,4262
1071951100,14000US01071951100,6662
1073000100,14000US01073000100,3127
1073000300,14000US01073000300,1819
1073000400,14000US01073000400,3347
1073000500,14000US01073000500,3022
1073000700,14000US01073000700,2542
1073000800,14000US01073000800,3217
1073001100,14000US01073001100,4781
1073001200,14000US01073001200,2464
1073001400,14000US01073001400,1946
1073001500,14000US01073001500,2555
1073001600,14000US01073001600,3011
1073001902,14000US01073001902,1878
1073002000,14000US01073002000,4080
1073002100,14000US01073002100,2677
1073002200,14000US01073002200,2601
1073002303,14000US01073002303,3086
1073002305,14000US01073002305,3361
1073002306,14000US01073002306,3864
1073002400,14000US01073002400,3886
1073002700,14000US01073002700,3630
1073002900,14000US01073002900,1968
1073003001,14000US01073003001,3481
1073003002,14000US01073003002,2439
1073003100,14000US01073003100,3469
1073003200,14000US01073003200,1187
1073003300,14000US01073003300,1172
1073003400,14000US01073003400,2168
1073003500,14000US01073003500,2425
1073003600,14000US01073003600,4396
1073003700,14000US01073003700,4502
1073003802,14000US01073003802,5291
1073003803,14000US01073003803,4002
1073003900,14000US01073003900,1271
1073004000,14000US01073004000,2533
1073004200,14000US01073004200,1738
1073004500,14000US01073004500,5177
1073004701,14000US01073004701,3707
1073004702,14000US01073004702,3658
1073004800,14000US01073004800,2061
1073004901,14000US01073004901,1142
1073004902,14000US01073004902,3591
1073005000,14000US01073005000,3541
1073005101,14000US01073005101,1467
1073005103,14000US01073005103,2689
1073005104,14000US01073005104,3132
1073005200,14000US01073005200,3915
1073005302,14000US01073005302,4009
1073005500,14000US01073005500,1746
1073005600,14000US01073005600,4787
1073005701,14000US01073005701,2369
1073005702,14000US01073005702,2473
1073005800,14000US01073005800,3925
1073005903,14000US01073005903,6118
1073005905,14000US01073005905,6287
1073005907,14000US01073005907,2409
1073005908,14000US01073005908,3702
1073005909,14000US01073005909,2691
1073005910,14000US01073005910,5838
1073010001,14000US01073010001,4940
1073010002,14000US01073010002,4406
1073010100,14000US01073010100,1349
1073010200,14000US01073010200,2813
1073010301,14000US01073010301,2856
1073010302,14000US01073010302,3819
1073010401,14000US01073010401,3842
1073010402,14000US01073010402,2478
1073010500,14000US01073010500,1218
1073010602,14000US01073010602,6026
1073010603,14000US01073010603,2242
1073010701,14000US01073010701,1508
1073010702,14000US01073010702,5039
1073010703,14000US01073010703,2465
1073010704,14000US01073010704,5009
1073010705,14000US01073010705,3782
1073010706,14000US01073010706,5047
1073010801,14000US01073010801,7051
1073010802,14000US01073010802,3058
1073010803,14000US01073010803,6282
1073010804,14000US01073010804,3014
1073010805,14000US01073010805,7215
1073010900,14000US01073010900,4734
